date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-07-16,2303,98年,0,0,,0,0,0,0,0.5,0,2010-07-08,,965002526,0,0,0,9583932,0,2010-06-24,17:21:39
2011-07-30,2303,99年,0,0,,0,0,0,0,1.1116484,0,2011-07-22,,2476610586,0,0,0,21401774,0,2011-07-08,17:10:06
2012-07-15,2303,100年,0,0,,0,0,0,0,0.49980232,0,2012-07-09,,1618217302,0,0,0,9303426,0,2012-06-22,17:27:37
2013-07-14,2303,101年,0,0,,0,0,0,0,0.40639654,0,2013-07-08,,1040179328,0,0,0,6950282,0,2013-06-21,11:18:03
2014-07-13,2303,102年,0,0,,0,0,0,0,0.01,0.49,2014-07-07,,1162655682,0,0,0,11746038,0,2014-06-18,17:42:16
2015-07-20,2303,103年,0,0,,0,0,0,0,0.54969673,0,2015-07-14,2015-08-13,1458956333,0,0,0,10811967,0,2015-06-25,15:49:28
2016-07-18,2303,104年,0,0,,0,0,0,0,0.56501906,0,2016-07-12,2016-08-11,0,0,0,0,0,0,2016-06-27,11:21:38
2017-07-17,2303,105年,0,0,,0,0,0,0,0.5,0,2017-07-11,2017-08-10,0,0,0,0,0,0,2017-06-21,18:15:05
2018-07-16,2303,106年,0,0,,0,0,0,0,0.71164307,0,2018-07-10,2018-07-31,0,0,0,0,0,0,2018-06-22,16:46:05
2019-07-22,2303,107年,0,0,,0,0,0,0,0.58989396,0,2019-07-16,2019-08-06,0,0,0,0,0,11724318715,2019-06-26,16:11:32
2020-07-21,2303,108年,0,0,,0,0,0,0,0.80395653,0,2020-07-15,2020-08-05,0,0,0,0,0,12146371493,2020-06-29,17:32:09
2021-07-30,2303,109年,0,0,,0,0,0,0,1.5998882,0,2021-07-22,2021-08-13,0,0,0,0,0,12423269493,2021-07-08,11:20:05
2022-06-28,2303,110年,0,0,,0,0,0,0,0,3,2022-06-22,2022-07-14,0,0,0,0,0,12482123484,2022-06-02,17:30:05
2023-07-03,2303,111年,0,0,,0,0,0,0,3.60046348,0,2023-06-27,2023-07-19,0,0,0,0,0,12503139241,2023-06-08,14:29:15
2010-07-13,6505,99年,0,0,,0,0,0,0,3.8,0,2010-07-07,,65083930,0,0,0,0,0,2010-06-21,17:48:10
2011-07-12,6505,100年,0,0,,0,0,0,0,3.9,0,2011-07-06,,43667356,0,0,0,0,0,2011-06-17,17:40:00
2012-07-10,6505,101年,0,0,,0,0,0,0,2,0,2012-07-04,,34218792,0,0,0,0,0,2012-06-18,18:04:59
2013-07-08,6505,101年,0,0,,0,0,0,0,0.26,0,2013-07-02,,166298,0,0,0,0,0,2013-06-14,12:02:34
2014-07-07,6505,102年,0,0,,0,0,0,0,2.5,0,2014-07-01,,5042082,0,0,0,0,0,2014-06-13,11:57:21
2015-07-09,6505,103年,0,0,,0,0,0,0,0.85,0,2015-07-02,2015-07-24,1295405,0,0,0,0,0,2015-06-17,17:13:20
2016-07-10,6505,104年,0,0,,0,0,0,0,4,0,2016-07-04,2016-07-22,0,0,0,0,0,0,2016-06-06,17:06:12
2017-07-04,6505,105年,0,0,,0,0,0,0,6,0,2017-06-28,2017-07-18,0,0,0,0,0,0,2017-06-08,16:13:56
2018-07-10,6505,106年,0,0,,0,0,0,0,6.3,0,2018-07-04,2018-07-25,0,0,0,0,0,0,2018-06-19,18:07:01
2019-06-26,6505,107年,0,0,,0,0,0,0,4.8,0,2019-06-20,2019-07-25,0,0,0,0,0,9525959652,2019-06-04,18:05:32
2020-06-23,6505,108年,0,0,,0,0,0,0,2.9,0,2020-06-17,2020-07-22,0,0,0,0,0,9525959652,2020-06-02,14:25:01
2021-07-31,6505,109年,0,0,,0,0,0,0,0.59,0,2021-07-23,2021-08-20,0,0,0,0,0,9525959652,2021-07-09,10:46:02
2022-06-27,6505,110年,0,0,,0,0,0,0,3.8,0,2022-06-21,2022-07-22,0,0,0,0,0,9525959652,2022-06-06,17:14:17
2023-06-19,6505,111年,0,0,,0,0,0,0,1.1,0,2023-06-13,2023-07-12,0,0,0,0,0,9525959652,2023-05-29,09:57:04
2010-07-15,2885,98年,0,0,,0,0,0,0,0.9,0,2010-07-08,,7333869,0,0,0,73338683,0,2010-06-24,09:52:37
2011-08-31,2885,99年,0.9172861,0,2011-08-25,0,0,0,0,0,0,,,7343916,0,0,0,36719577,0,2011-08-10,15:07:19
2012-07-31,2885,100年,0,0,,0,0,0,0,0.2,0,2012-07-25,,10271929,0,0,0,51359645,0,2012-06-27,11:43:10
2013-07-29,2885,101年,0,0,,0,0,0,0,0.55,0,2013-07-23,,5425772,0,0,0,27128859,0,2013-07-05,11:02:45
2014-07-02,2885,102年,0,0,,0,0,0,0,0.65,0,2014-06-26,,2019457,0,0,0,44008632,0,2014-06-11,14:28:41
2014-08-26,2885,102年,0.25,0,2014-08-20,0,0,0,0,0,0,,,2019457,0,0,0,44008632,0,2014-08-01,15:36:32
2015-07-22,2885,103年,0,0,,0,0,0,0,0.617839,0,2015-07-16,2015-08-05,2486454,0,0,0,45925071,0,2015-07-01,10:38:28
2015-08-20,2885,103年,0.2622902,0,2015-08-13,0,0,0,0,0,0,,,0,0,0,0,45925071,0,2015-07-29,17:45:12
2016-07-23,2885,104年,0,0,,0,0,0,0,0.360995,0,2016-07-15,2016-08-10,0,0,0,0,0,0,2016-06-30,15:56:39
2017-07-22,2885,105年,0,0,,0,0,0,0,0.44777,0,2017-07-14,2017-08-09,0,0,0,0,0,0,2017-06-29,15:57:41
2018-07-10,2885,106年,0,0,,0,0,0,0,0.556315,0,2018-07-04,2018-07-27,0,0,0,0,0,0,2018-06-19,16:02:58
2019-07-08,2885,107年,0,0,,0,0,0,0,0.9,0,2019-07-02,2019-07-26,0,0,0,0,0,11670611456,2019-06-18,11:58:08
2020-07-05,2885,108年,0,0,,0,0,0,0,0.65,0,2020-06-29,2020-07-22,0,0,0,0,0,11670611456,2020-06-10,17:22:00
2020-08-23,2885,108年,0.4,0,2020-08-17,0,0,0,0,0,0,,,0,0,0,0,0,11670611456,2020-07-31,12:00:35
2021-07-17,2885,109年,0,0,,0,0,0,0,1.2,0,2021-07-09,2021-07-21,0,0,0,0,0,12137435914,2021-06-24,16:57:01
2022-07-04,2885,110年,0,0,,0,0,0,0,1.5,0,2022-06-28,2022-07-22,0,0,0,0,0,12137435914,2022-06-13,18:04:07
2022-08-20,2885,110年,0.3,0,2022-08-12,0,0,0,0,0,0,,,0,0,0,0,0,12137435914,2022-07-28,16:52:45
2023-07-07,2885,111年,0,0,,0,0,0,0,0.8,0,2023-06-29,2023-07-26,0,0,0,0,0,12501558992,2023-06-12,17:48:55
2023-08-19,2885,111年,0.15,0,2023-08-11,0,0,0,0,0,0,,,0,0,0,0,0,12501558992,2023-07-27,14:26:02
2010-08-16,4904,98年,0,0,,0,0,0,0,2.8,0,2010-08-10,,166576729,0,0,0,83288364,0,2010-06-28,09:06:23
2011-07-25,4904,99年,0,0,,0,0,0,0,2.5,0,2011-07-19,,159274170,0,0,0,79637085,0,2011-06-24,11:35:49
2012-07-30,4904,100年,0,0,,0,0,0,0,2.469,0.531,2012-07-24,,159857869,0,0,0,79928935,0,2012-07-04,10:07:05
2013-07-30,4904,101年,0,0,,0,0,0,0,2.928,0.572,2013-07-24,,190798349,0,0,0,95399174,0,2013-07-01,16:39:36
2014-07-22,4904,102年,0,0,,0,0,0,0,3.164,0.586,2014-07-16,,205911069,0,0,0,102955535,0,2014-06-25,11:46:28
2015-07-21,4904,103年,0,0,,0,0,0,0,3.167,0.583,2015-07-15,2015-08-07,205340068,0,0,0,102670034,0,2015-06-22,10:05:22
2016-07-18,4904,104年,0,0,,0,0,0,0,3.174,0.576,2016-07-12,2016-08-05,0,0,0,0,0,0,2016-06-16,15:27:14
2017-07-18,4904,105年,0,0,,0,0,0,0,3.129,0.621,2017-07-12,2017-08-04,0,0,0,0,0,0,2017-06-23,18:20:21
2018-07-17,4904,106年,0,0,,0,0,0,0,3.037,0.713,2018-07-11,2018-08-03,0,0,0,0,0,0,2018-06-19,14:44:01
2019-07-22,4904,107年,0,0,,0,0,0,0,3.75,0,2019-07-16,2019-08-07,0,0,0,0,0,3258500810,2019-06-18,14:56:32
2020-07-20,4904,108年,0,0,,0,0,0,0,3.209,0.041,2020-07-14,2020-08-07,0,0,0,0,0,3258500810,2020-06-19,15:49:43
2021-07-31,4904,109年,0,0,,0,0,0,0,2.234,1.016,2021-07-23,2021-08-19,0,0,0,0,0,3258500810,2021-07-06,16:19:34
2022-07-20,4904,110年,0,0,,0,0,0,0,2.349,0.901,2022-07-14,2022-08-17,0,0,0,0,0,3258500810,2022-06-14,16:02:09
2023-07-11,4904,111年,0,0,,0,0,0,0,2.379,0.871,2023-07-05,2023-08-07,0,0,0,0,0,3258500810,2023-05-31,18:27:44
2010-08-10,2912,98年,0,0,,0,0,0,0,3.6,0,2010-08-04,,218913131,0,0,0,36485522,0,2010-07-18,11:00:00
2011-08-10,2912,99年,0,0,,0,0,0,0,4.9,0,2011-08-04,,309470486,0,0,0,51578414,0,2011-07-19,19:00:08
2012-08-13,2912,100年,0,0,,0,0,0,0,4.8,0,2012-08-07,,296900827,0,0,0,98966943,0,2012-07-24,11:09:49
2013-08-13,2912,101年,0,0,,0,0,0,0,4.85,0,2013-08-07,,391721706,0,0,0,130573902,0,2013-07-24,11:29:36
2014-08-12,2912,102年,0,0,,0,0,0,0,5.15,0.85,2014-08-06,2014-09-05,323586878,0,0,0,107862293,0,2014-07-21,16:22:02
2015-08-10,2912,103年,0,0,,0,0,0,0,7,0,2015-08-04,2015-09-04,481206920,0,0,0,160402307,0,2015-07-15,16:06:05
2016-08-09,2912,104年,0,0,,0,0,0,0,7.2,0,2016-08-03,2016-09-07,0,0,0,0,0,0,2016-07-13,16:42:21
2017-08-08,2912,105年,0,0,,0,0,0,0,8,0,2017-08-02,2017-09-06,0,0,0,0,0,0,2017-07-10,17:28:16
2018-08-07,2912,106年,0,0,,0,0,0,0,25,0,2018-08-01,2018-09-05,0,0,0,0,0,0,2018-07-09,16:55:18
2019-08-06,2912,107年,0,0,,0,0,0,0,8.8,0,2019-07-31,2019-09-04,0,0,0,0,0,1039622255,2019-07-16,17:06:33
2020-08-11,2912,108年,0,0,,0,0,0,0,9,0,2020-08-05,2020-09-09,0,0,0,0,0,1039622255,2020-07-17,09:34:31
2021-09-13,2912,109年,0,0,,0,0,0,0,9,0,2021-09-07,2021-10-13,0,0,0,0,0,1039622255,2021-08-18,09:45:36
2022-08-09,2912,110年,0,0,,0,0,0,0,7.21,1.79,2022-08-03,2022-09-06,0,0,0,0,0,1039622255,2022-07-19,11:55:50
2023-08-09,2912,111年,0,0,,0,0,0,0,9,0,2023-08-03,2023-09-06,0,0,0,0,0,1039622255,2023-07-19,10:13:32
2010-10-03,2601,98年,0,0,,0,0,0,0,1.01165957,0,2010-09-27,,2800000,0,0,0,2800000,0,2010-09-09,14:26:14
2011-08-17,2601,99年,0,0,,0,0,0,0,1.00506653,0,2011-08-11,,2940000,0,0,0,2940000,0,2011-07-27,12:08:39
2012-08-26,2601,100年,0,0,,0,0,0,0,0.5,0,2012-08-20,,1500000,0,0,0,1470000,0,2012-08-03,14:24:37
2013-01-02,2601,102年,0,0,2012-12-27,0,0,0,0,0,0,,,0,100000000,28.82,22,1470000,0,2012-12-21,18:07:15
2013-08-28,2601,101年,0,0,,0,0,0,0,0.25453916,0,2013-08-22,,1000000,0,0,0,980000,0,2013-08-07,11:01:44
2015-09-14,2601,103年,0,0,,0,0,0,0,0.25,0,2015-09-08,2015-10-08,950000,0,0,0,910000,0,2015-08-13,11:13:15
2017-03-31,2601,106年,0,0,2017-03-23,0,0,0,0,0,0,,,0,260000000,56.08,7.6,0,0,2017-03-16,19:18:26
2019-09-24,2601,107年,0,0,,0,0,0,0,0.1,0,2019-09-18,2019-10-08,0,0,0,0,0,630883150,2019-08-20,16:55:35
2020-11-07,2601,108年,0.9,0,2020-10-30,0,0,0,0,0.1,0.3,2020-10-30,2020-11-30,0,0,0,0,0,620883150,2020-10-15,17:42:30
2010-07-24,2385,98年,0.5000000086,0,2010-07-16,5284100,52841000,15.38,0.01,3.5,0,2010-07-16,,122880012,0,0,0,30388421,0,2010-07-01,11:10:30
2011-07-04,2385,99年,0,0,,0,0,0,0,4,0,2011-06-28,,133000037,0,0,0,32850609,0,2011-06-12,11:13:12
2011-07-15,2385,99年,0.3500000011,0,2011-07-07,7282688,72826880,25.26,0.01,0,0,,,0,0,0,0,32850609,0,2011-06-22,17:16:16
2012-07-04,2385,100年,0,0,,0,0,0,0,4,0,2012-06-28,,168517168,0,0,0,37407321,0,2012-06-13,16:12:48
2012-07-17,2385,100年,0.3500000054,0,2012-07-11,8779093,87790930,28.02,0.01,0,0,,,0,0,0,0,37407321,0,2012-06-26,16:14:46
2013-07-06,2385,101年,0,0,,0,0,0,0,4.1,0,2013-06-28,,67716342,0,0,0,24357270,0,2013-06-11,18:26:47
2013-07-20,2385,101年,0.1,0,2013-07-12,4185623,41856230,38.25,0.01,0,0,,,0,0,0,0,24357270,0,2013-06-26,17:50:55
2014-06-24,2385,102年,0,0,,0,0,0,0,4.6,0,2014-06-18,,341965878,0,0,0,44279115,0,2014-05-30,16:59:50
2014-07-15,2385,102年,0.05,0,2014-07-09,4710191,47101910,57.84,0.01,0,0,,,0,0,0,0,44279115,0,2014-06-24,16:02:53
2015-07-12,2385,103年,0,0,,0,0,0,0,4.65,0,2015-07-06,2015-07-29,166655294,0,0,0,36728455,0,2015-06-17,17:57:08
2015-08-17,2385,103年,0.05,0,2015-08-11,5470374,54703740,61.16,0.01,0,0,,,0,0,0,0,36728455,0,2015-07-23,17:25:43
2016-07-03,2385,104年,0,0,,0,0,0,0,4.3,0,2016-06-27,2016-07-20,0,0,0,0,0,0,2016-06-08,18:05:37
2016-07-27,2385,104年,0.05,0,2016-07-21,0,0,0,0,0,0,,,0,0,0,0,0,0,2016-06-28,12:14:28
2017-06-28,2385,105年,0,0,,0,0,0,0,4.25,0,2017-06-22,2017-07-19,0,0,0,0,0,0,2017-06-07,14:52:45
2017-07-18,2385,105年,0.05,0,2017-07-12,0,0,0,0,0,0,,,0,0,0,0,0,0,2017-07-11,15:03:45
2018-06-27,2385,106年,0,0,,0,0,0,0,4.45,0,2018-06-21,2018-07-20,0,0,0,0,0,0,2018-06-06,11:59:50
2018-07-25,2385,106年,0.05,0,2018-07-19,0,0,0,0,0,0,,,0,0,0,0,0,0,2018-07-03,14:25:57
2019-07-01,2385,107年,0,0,,0,0,0,0,3.8,0,2019-06-25,2019-07-19,0,0,0,0,0,728120521,2019-06-06,12:07:32
2020-04-16,2385,108年,0,0,,0,0,0,0,5.9,0,2020-04-09,2020-05-12,0,0,0,0,0,739460300,2020-03-23,16:58:03
2021-04-17,2385,109年,0,0,,0,0,0,0,5.5,0,2021-04-09,2021-05-12,0,0,0,0,0,745292749,2021-03-23,15:23:39
2022-06-22,2385,110年,0,0,,0,0,0,0,6.1,0,2022-06-16,2022-07-15,0,0,0,0,0,751846421,2022-05-30,15:49:21
2023-06-24,2385,111年,0,0,,0,0,0,0,7.5,0,2023-06-16,2023-07-14,0,0,0,0,0,760053172,2023-05-09,16:45:29
2010-08-31,2317,98年,1.2,0,2010-08-25,52844526,528445260,4.88,0.01,2,0,2010-08-25,,53,0,0,0,0,0,2010-08-10,15:20:26
2011-08-06,2317,99年,1,0,2011-07-29,61723640,617236400,6,0.01,1,0,2011-07-29,,54,0,0,0,0,0,2011-07-15,10:26:56
2012-08-18,2317,100年,1,0,2012-08-10,77860198,778601980,6.79,0.01,1.5,0,2012-08-10,,22,0,0,0,0,0,2012-07-27,14:47:31
2013-09-15,2317,101年,1,0,2013-09-09,109253660,1092536600,8.45,0.01,1.5,0,2013-09-09,,44,0,0,0,0,0,2013-08-27,10:04:20
2014-09-03,2317,102年,1.2,0,2014-08-28,89255202,892552020,5.36,0.01,1.8,0,2014-08-28,2014-09-30,44,0,0,0,0,0,2014-08-14,18:50:36
2015-09-10,2317,103年,0.5,0,2015-09-03,105211021,1052110210,12.45,0.01,3.8,0,2015-09-03,2015-10-07,6,0,0,0,0,0,2015-08-14,14:52:53
2016-09-10,2317,104年,1,0,2016-09-02,0,0,0,0,4,0,2016-09-02,2016-10-07,0,0,0,0,0,0,2016-08-18,17:57:04
2017-07-21,2317,105年,0,0,,0,0,0,0,4.5,0,2017-07-13,2017-08-10,0,0,0,0,0,0,2017-06-26,10:13:08
2018-07-31,2317,106年,0,0,,0,0,0,0,2,0,2018-07-25,2018-08-24,0,0,0,0,0,0,2018-07-10,16:23:30
2019-07-31,2317,107年,0,0,,0,0,0,0,4,0,2019-07-25,2019-08-23,0,0,0,0,0,13862990609,2019-07-09,16:57:51
2020-07-31,2317,108年,0,0,,0,0,0,0,4.2,0,2020-07-23,2020-08-21,0,0,0,0,0,13862990609,2020-07-08,17:55:35
2021-07-30,2317,109年,0,0,,0,0,0,0,4,0,2021-07-22,2021-08-20,0,0,0,0,0,13862990609,2021-07-07,17:03:38
2022-07-10,2317,110年,0,0,,0,0,0,0,5.2,0,2022-07-04,2022-07-28,0,0,0,0,0,13862990609,2022-06-08,17:46:35
2023-07-10,2317,111年,0,0,,0,0,0,0,5.3,0,2023-07-04,2023-07-28,0,0,0,0,0,13862990609,2023-06-06,17:29:16
2010-08-04,2891,98年,0,0,,0,0,0,0,0.64,0,2010-07-29,,568976,0,0,0,11379511,0,2010-07-14,09:27:33
2010-09-06,2891,98年,0.39,0.25,2010-08-31,0,0,0,0,0,0,,,0,0,0,0,11379511,0,2010-08-16,19:05:19
2011-07-25,2891,99年,0,0,,0,0,0,0,0.73,0,2011-07-19,,5835295,0,0,0,116705891,0,2011-07-01,15:37:50
2011-09-19,2891,99年,0.71965434,0,2011-09-13,0,0,0,0,0,0,,,0,0,0,0,116705891,0,2011-08-26,16:58:41
2012-02-18,2891,101年,0,0,2012-02-10,0,0,0,0,0,0,,,0,715000000,5,16.3,146420003,0,2012-02-04,16:49:40
2012-07-23,2891,100年,0,0,,0,0,0,0,0.4,0,2012-07-17,,7321000,0,0,0,146420003,0,2012-07-02,15:08:14
2012-09-24,2891,100年,0.88,0,2012-09-18,0,0,0,0,0,0,,,0,0,0,0,146420003,0,2012-09-03,12:06:54
2013-02-25,2891,102年,0,0,2013-02-19,0,0,0,0,0,0,,,0,1333400000,8.59,15,180220856,0,2013-02-01,18:33:53
2013-07-23,2891,101年,0,0,,0,0,0,0,0.71,0,2013-07-17,,9011043,0,0,0,180220856,0,2013-07-02,19:18:45
2013-08-25,2891,101年,0.7,0,2013-08-19,0,0,0,0,0,0,,,0,0,0,0,180220856,0,2013-08-02,17:48:45
2014-07-15,2891,102年,0,0,,0,0,0,0,0.38,0,2014-07-09,,5541473,0,0,0,110829455,0,2014-06-26,17:03:52
2014-09-24,2891,103年,0.36996335,0,2014-09-18,0,0,0,0,0,0,,,0,0,0,0,110829455,0,2014-09-02,09:16:12
2015-08-14,2891,103年,0.81,0,2015-08-06,0,0,0,0,0.81,0,2015-08-06,2015-08-31,12496453,0,0,0,249929047,0,2015-07-22,19:14:59
2016-08-06,2891,104年,0,0,,0,0,0,0,0.81,0,2016-07-29,2016-08-26,0,0,0,0,0,0,2016-07-14,11:43:57
2016-10-18,2891,104年,0.8,0,2016-10-12,0,0,0,0,0,0,,,0,0,0,0,0,0,2016-09-26,14:28:22
2017-07-23,2891,105年,0,0,,0,0,0,0,0.85,0.15,2017-07-17,2017-08-11,0,0,0,0,0,0,2017-06-30,18:10:57
2017-11-06,2891,106年,0,0,2017-10-31,0,0,0,0,0,0,,,0,333330000,1.37,60,0,0,2017-10-24,17:06:12
2018-07-15,2891,106年,0,0,,0,0,0,0,1.08,0,2018-07-09,2018-08-03,0,0,0,0,0,0,2018-06-22,15:41:47
2019-02-19,2891,107年,0,0,2019-02-13,0,0,0,0,0,0,,,0,166660000,0.67,60,0,19496989569,2019-01-29,14:48:56
2019-07-21,2891,107年,0,0,,0,0,0,0,1,0,2019-07-15,2019-08-09,0,0,0,0,0,19496989569,2019-07-01,10:55:27
2020-07-19,2891,108年,0,0,,0,0,0,0,1,0,2020-07-13,2020-08-07,0,0,0,0,0,19496989569,2020-06-29,11:02:15
2021-08-22,2891,109年,0,0,,0,0,0,0,1.05,0,2021-08-16,2021-09-10,0,0,0,0,0,19496989569,2021-08-02,15:39:31
2022-07-20,2891,110年,0,0,,0,0,0,0,1.25,0,2022-07-14,2022-08-12,0,0,0,0,0,19496989569,2022-06-30,10:23:04
2023-08-12,2891,111年,0,0,,0,0,0,0,1.00002571,0,2023-08-04,2023-08-31,0,0,0,0,0,19583297106,2023-07-18,11:18:29
2010-08-01,2002,98年,0.33,0,2010-07-26,0,0,0,0,1.01,0,2010-07-26,,1528287894,0,0,0,28655398,0,2010-07-09,14:19:37
2011-07-24,2002,99年,0.5,0,2011-07-18,0,0,0,0,1.99,0,2011-07-18,,2701965463,0,0,0,50661852,0,2011-06-30,12:02:00
2012-08-01,2002,100年,0.15,0,2012-07-26,0,0,0,0,1.01,0,2012-07-26,,1399258872,0,0,0,26236104,0,2012-07-05,15:33:30
2013-08-03,2002,101年,0.1,0,2013-07-26,0,0,0,0,0.4,0,2013-07-26,,414141286,0,0,0,7765149,0,2013-07-05,16:55:21
2014-08-20,2002,102年,0.2,0,2014-08-14,0,0,0,0,0.7,0,2014-08-14,2014-09-16,1133083571,0,0,0,21245317,0,2014-07-28,15:22:03
2015-08-01,2002,103年,0,0,,0,0,0,0,1,0,2015-07-24,2015-08-26,1587489221,0,0,0,29765423,0,2015-07-07,17:11:28
2016-08-01,2002,104年,0,0,,0,0,0,0,0.5,0,2016-07-26,2016-08-25,0,0,0,0,0,0,2016-07-06,17:06:18
2017-08-01,2002,105年,0,0,,0,0,0,0,0.85,0,2017-07-26,2017-08-25,0,0,0,0,0,0,2017-07-04,17:14:15
2018-08-01,2002,106年,0,0,,0,0,0,0,0.88,0,2018-07-26,2018-08-24,0,0,0,0,0,0,2018-07-05,09:09:53
2019-08-01,2002,107年,0,0,,0,0,0,0,1,0,2019-07-25,2019-08-27,0,0,0,0,0,15734860997,2019-07-04,16:02:25
2020-08-01,2002,108年,0,0,,0,0,0,0,0.5,0,2020-07-24,2020-08-27,0,0,0,0,0,15734860997,2020-07-07,17:42:12
2021-09-06,2002,109年,0,0,,0,0,0,0,0.3,0,2021-08-31,2021-09-17,0,0,0,0,0,15734860997,2021-08-10,15:18:43
